SST,pCO2
12.11,416.85
12.134,417.027
12.146,419.044
12.161,419.331
12.183,418.033
12.194,415.695
12.218,413.929
12.23,414.404
12.237,414.105
12.251,414.378
12.262,417.66
12.276,420.537
12.295,421.549
12.312,419.902
12.33,417.54
12.34,414.478
12.349,411.648
12.365,409.025
12.382,406.486
12.818,405.95
12.837,405.081
12.869,406.031
12.884,406.699
12.897,407.495
12.906,407.203
12.913,406.108
12.918,405.023
12.927,404.635
12.939,404.01
12.944,403.472
12.951,402.812
12.956,402.437
12.965,401.79
12.973,401.302
12.986,401.248
12.988,400.954
12.997,400.807
13.003,400.313
13.596,390.592
13.601,390.633
13.593,390.519
13.59,390.481
13.589,390.726
13.589,390.933
13.587,390.933
13.598,391.095
13.593,391.178
13.596,391.41
13.598,390.955
13.6,391.211
13.604,391.129
13.609,391.397
13.194,394.574
13.183,394.279
13.175,394.46
13.166,394.45
13.172,394.283
13.163,394.613
13.165,393.992
13.159,393.667
13.152,393.324
13.152,393.714
13.142,394.307
13.143,394.057
13.136,393.841
13.129,393.696
13.118,393.776
13.122,393.646
13.111,393.843
13.109,393.371
13.113,393.101
13.069,390.53
13.072,390.95
13.055,391.17
13.044,391.397
13.022,391.133
13.007,390.819
13,391.478
13.013,391.13
12.999,391.088
12.976,390.879
12.994,391.041
12.973,390.708
12.969,391.149
12.961,391.218
12.959,391.7
12.965,391.867
12.971,392.369
12.969,392.203
12.963,392.696
12.783,393.24
12.793,393.38
12.784,393.324
12.79,393.363
12.784,393.004
12.784,392.809
12.782,392.628
12.793,392.375
12.779,392.655
12.786,392.28
12.777,391.531
12.771,391.855
12.772,391.846
12.763,393.15
12.768,393.094
12.764,392.885
12.757,392.258
12.753,391.697
12.744,392.131
12.728,392.547
12.724,392.344
12.728,392.668
12.736,392.509
12.736,392.726
12.737,392.876
12.738,392.352
12.749,392.239
12.761,392.016
12.764,391.994
12.759,392.109
12.751,392.192
12.739,392.523
12.738,392.627
12.727,392.84
12.716,392.637
12.702,392.56
12.696,392.206
12.692,391.824
12.545,390.194
12.546,389.706
12.559,388.909
12.567,389.278
12.565,388.996
12.568,389.663
12.579,389.584
12.579,389.527
12.587,389.109
12.579,388.589
12.579,388.732
12.576,388.593
12.574,388.193
12.568,388.186
12.559,387.837
12.554,387.303
12.546,387.358
12.54,386.6
12.529,386.986
12.402,385.181
12.406,385.266
12.418,385.074
12.419,385.537
12.431,385.288
12.431,384.937
12.437,384.826
12.418,384.882
12.402,384.788
12.376,384.839
12.348,384.706
12.334,384.91
12.322,385.353
12.315,385.551
12.318,385.56
12.324,384.926
12.348,384.799
12.36,385.429
12.365,384.955
12.608,373.312
12.619,373.524
12.615,373.11
12.613,372.811
12.601,372.46
12.608,372.17
12.616,371.926
12.626,371.388
12.625,370.676
12.648,369.103
12.671,368.122
12.693,367.449
12.708,367.225
12.692,366.702
12.679,367.137
12.645,366.903
12.64,366.676
12.599,366.844
12.535,366.797
12.758,372.396
12.756,372.89
12.766,373.502
12.761,373.471
12.767,373.604
12.777,372.616
12.78,372.53
12.823,372.594
12.848,372.554
12.863,373.232
12.888,373.162
12.897,373.448
12.898,374.586
12.911,374.425
12.901,374.227
12.897,374.171
12.887,373.564
12.864,372.892
12.843,372.122
12.775,371.575
12.81,371.328
12.827,371.318
12.827,370.762
12.753,371.41
12.703,370.937
12.726,370.79
12.72,371.198
12.665,371.437
12.61,371.504
12.605,372.552
12.645,372.12
12.688,372.332
12.701,372.634
12.779,372.093
12.829,372.665
12.851,373.483
12.838,372.692
12.83,372.101
12.806,371.98
12.878,372.383
12.931,371.852
12.934,372.064
12.919,374.86
12.903,376.291
12.909,377.629
12.909,377.827
12.908,378.208
12.904,378.136
12.891,378.966
12.87,378.862
12.868,378.606
12.857,378.678
12.851,379.119
12.863,379.519
12.873,379.312
12.865,379.444
12.859,378.955
12.997,383.808
12.991,384.514
12.979,385.179
12.965,383.752
12.969,383.839
12.958,384.87
12.958,384.712
12.958,385.042
12.965,387.051
12.953,387.905
12.946,387.328
12.954,388.949
12.974,389.616
12.991,389.927
13.013,389.559
13.039,388.381
13.039,387.019
13.038,385.623
13.044,385.481
13.091,375.782
13.106,375.757
13.114,375.454
13.124,376.556
13.127,376.245
13.113,376.382
13.082,376.451
13.053,377.926
13.038,378.151
13.03,377.781
13.021,378.64
13.018,379.392
13.159,380.263
13.225,380.045
13.229,379.572
13.232,378.758
13.204,377.456
13.117,378.153
13.056,378.281
13.426,370.648
13.4,370.214
13.288,369.371
13.227,368.837
13.242,369.423
13.266,370.64
13.266,370.675
13.215,371.387
13.199,371.923
13.176,372.445
13.173,372.905
13.319,374.391
13.434,374.023
13.496,374.509
13.494,375.665
13.452,376.035
13.426,375.182
13.411,374.767
13.374,373.019
13.698,369.548
13.737,370.125
13.796,368.846
13.86,368.357
13.911,367.364
13.981,367.529
14.009,366.987
14.003,365.408
13.998,364.513
13.983,363.191
14.008,363.516
14.041,364.198
14.039,364.132
14.029,363.386
14.007,363.688
13.982,364.227
13.937,364.846
13.895,366.271
13.896,366.826
13.676,369.061
13.703,368.568
13.771,369.841
13.808,370.27
13.845,368.902
13.883,369.736
13.876,370.032
13.87,370.194
13.867,368.856
13.864,367.171
13.861,367.423
13.861,367.691
13.868,367.199
13.863,367.091
13.87,367.1
13.889,368.104
13.894,369.087
13.893,369.233
13.9,369.19
13.616,368.935
13.614,370.119
13.619,370.393
13.636,371.577
13.62,370.298
13.627,370.505
13.617,370.312
13.615,370.555
13.644,370.607
13.66,370.5
13.703,370.504
13.747,369.788
13.755,369.544
13.734,368.076
13.7,369.347
13.63,368.538
13.61,367.142
13.585,367.807
13.517,367.708
13.508,373.992
13.602,373.168
13.646,372.221
13.614,372.133
13.584,371.234
13.601,369.49
13.601,368.715
13.608,368.186
13.588,367.27
13.589,367.828
13.569,368.585
13.53,366.985
13.454,366.731
13.44,366.811
13.436,367.677
13.424,369.471
13.419,371.166
13.42,371.378
13.433,371.063
14.056,357.888
14.048,358.134
14.052,358.047
14.054,358.867
14.057,358.275
14.066,358.356
14.065,358.152
14.062,357.478
14.065,356.975
14.06,357.035
14.065,358.138
14.058,357.717
14.054,358.356
14.059,359.15
14.064,357.517
14.06,356.657
14.119,355.878
14.168,355.53
14.217,355.392
14.157,356.073
14.148,356.238
14.141,356.118
14.133,356.158
14.119,357.99
14.097,357.138
14.089,356.735
14.097,357.207
14.104,358.244
14.094,357.957
14.065,358.42
14.044,357.945
14.019,357.581
14.003,357.585
14.003,359.126
14.009,359.327
14.003,359.55
14.004,358.756
14.007,359.305
14.175,358.154
14.183,357.981
14.194,357.691
14.184,356.28
14.181,357.284
14.171,358.545
14.142,358.935
14.133,358.155
14.103,358.575
14.079,356.998
14.045,355.816
14.092,356.337
14.085,356.451
14.087,357.99
14.074,359.015
14.061,358.718
14.048,357.967
14.023,358.948
14.032,357.717
13.926,358.01
13.904,359.258
13.877,359.593
13.841,359.179
13.828,359.997
13.82,359.998
13.798,359.783
13.764,360.484
13.735,360.546
13.717,360.269
13.703,360.438
13.676,360.259
13.637,360.575
13.593,360.586
13.547,360.611
13.505,359.27
13.493,359.678
13.483,360.677
13.481,360.923
13.783,361.663
13.78,362.057
13.77,361.577
13.78,359.917
13.915,360.179
13.979,359.916
14,358.484
14.009,358.623
14.022,357.938
14.028,358.454
14.016,358.895
14.003,358.822
13.989,358.395
13.973,357.8
13.973,357.936
13.969,358.056
13.96,357.869
13.97,358.263
13.971,358.683
14.048,357.396
14.032,356.97
14.033,357.162
14.045,357
14.044,356.849
14.054,356.284
14.052,357.739
14.055,358.18
14.075,356.969
14.103,357.406
14.108,358.203
14.106,358.622
14.092,357.531
14.068,358.194
14.048,358.083
14.066,358.45
14.067,358.636
14.071,358.576
14.048,356.966
14.196,356.772
14.217,356.484
14.189,357.266
14.146,357.653
14.117,358.474
14.227,357.701
14.231,357.513
14.272,357.381
14.312,357.278
14.31,357.42
14.297,358.041
14.295,357.238
14.29,357.209
14.256,357.967
14.213,357.572
14.173,358.887
14.186,358.71
14.207,358.242
14.226,358.831
14.23,360.475
14.219,360.324
14.21,359.961
14.215,360.043
14.227,359.349
14.217,360.099
14.209,359.03
14.211,358.705
14.227,358.742
14.221,359.477
14.215,359.286
14.224,360.162
14.238,359.957
14.258,358.502
14.247,357.899
14.231,357.26
14.237,358.322
14.238,358.987
14.219,360.036
14.276,357.781
14.305,358.727
14.32,358.574
14.311,358.696
14.308,359.208
14.303,358.349
14.306,358.49
14.307,359.589
14.298,359.021
14.289,358.414
14.308,357.353
14.295,357.117
14.308,357.225
14.304,358.464
14.3,358.717
14.299,358.573
14.295,359.072
14.304,358.178
14.313,357.413
14.685,361.089
14.774,361.031
14.823,360.287
14.864,359.993
14.86,360.166
14.815,362.052
14.82,362.332
14.78,361.983
14.835,361.309
14.896,362.226
14.946,361.708
14.982,360.59
14.993,360.671
14.959,360.674
14.947,361.9
14.923,361.263
14.918,361.51
14.92,360.617
14.93,360.285
14.997,360.582
15.043,361.167
15.03,360.461
14.977,360.379
14.995,360.609
15.027,360.62
15.013,360.014
14.984,360.622
14.939,360.831
14.921,360.342
14.946,360.07
14.943,359.913
14.961,359.849
14.975,359.568
15.004,359.477
14.982,360.585
14.99,360.728
14.979,361.28
14.963,360.011
14.879,361.385
14.895,361.449
14.891,361.148
14.885,361.467
14.925,360.592
14.949,359.886
14.941,359.427
14.947,360.322
14.949,359.771
14.921,359.811
14.959,359.944
14.971,360.335
14.987,359.968
14.993,359.023
14.995,359.835
15,360.577
15.017,360.06
14.84,359.726
14.83,359.638
15.061,358.885
15.018,359.375
15.103,359.099
15.12,358.236
15.109,358.186
15.105,358.725
15.115,358.324
15.105,357.725
15.147,357.029
15.157,356.031
15.16,356.672
15.152,357.181
15.128,357.504
15.115,357.181
15.109,356.931
15.106,358.232
15.101,357.897
15.11,357.257
15.138,358.723
15.285,359.91
15.317,359.943
15.33,358.897
15.321,359.368
15.314,358.426
15.306,358.452
15.297,358.504
15.238,358.361
15.225,357.597
15.233,357.592
15.257,358.715
15.249,359.293
15.31,359.454
15.395,359.324
15.424,358.67
15.419,357.722
15.395,358.591
15.399,357.897
15.406,357.217
15.395,354.281
15.376,354.704
15.42,355.031
15.447,354.967
15.406,355.137
15.364,355.867
15.371,355.543
15.331,355.547
15.247,355.657
15.367,356.009
15.423,355.473
15.45,355.799
15.503,355.238
15.515,355.269
15.527,356.061
15.511,356.231
15.498,356.041
15.481,356.986
15.474,356.637
14.879,359.52
14.881,358.871
14.888,359.528
14.879,359.936
14.878,358.857
14.88,358.779
14.87,358.246
14.861,358.947
14.865,359.218
14.872,358.924
14.879,358.91
14.884,358.649
14.875,358.56
14.871,358.385
14.87,359.035
14.876,358.979
14.867,358.135
14.842,356.929
14.863,356.132
14.771,351.326
14.893,351.519
14.94,351.504
14.949,352.476
14.94,352.113
14.95,353.193
14.976,353.766
14.991,352.754
15.004,353.745
15.074,354.501
15.136,353.902
15.167,353.355
15.166,352.937
15.141,354.219
15.091,354.088
15.077,353.728
15.109,352.51
15.168,353.814
15.146,353.248
15.373,356.531
15.371,355.563
15.468,356.179
15.426,355.344
15.364,354.529
15.323,355.429
15.34,356.98
15.353,355.298
15.363,354.886
15.372,355.339
15.383,353.838
15.387,353.95
15.37,354.925
15.377,356.009
15.411,355.081
15.405,353.873
15.378,353.561
15.393,353.635
15.392,353.399
15.482,353.582
15.469,354.937
15.46,354.878
15.483,355.244
15.491,356.707
15.499,356.911
15.558,358.101
15.599,357.485
15.603,359.101
15.585,357.989
15.477,357.847
15.507,356.505
15.506,356.05
15.493,358.77
15.49,358.292
15.489,358.765
15.49,359.035
15.489,358.853
15.47,358.264
15.324,358.29
15.329,358.472
15.329,357.922
15.336,357.986
15.361,358.091
15.379,358.544
15.403,362.14
15.419,361.585
15.414,360.97
15.375,360.962
15.363,363.534
15.344,365.078
15.342,363.988
15.347,360.681
15.33,359.64
15.306,359.89
15.296,359.879
15.283,357.039
15.287,357.204
15.412,364.637
15.477,365.379
15.482,369.06
15.478,370.039
15.458,371.344
15.429,375.292
15.416,372.158
15.421,368.347
15.42,366.503
15.428,363.21
15.435,363.983
15.436,364.147
15.441,364.047
15.441,363.345
15.456,363.798
15.499,362.257
15.505,359.196
15.486,357.254
15.488,358.254
16.262,362.661
16.263,360.65
16.246,361.888
16.248,360.455
16.265,361.919
16.273,364.221
16.289,362.513
16.295,360.836
16.286,362.388
16.305,361.935
16.321,362.047
16.327,359.777
16.323,360.002
16.321,357.938
16.318,357.869
16.305,361.18
16.314,361.559
16.3,362.51
16.306,364.767
16.288,365.887
16.276,365.99
16.251,365.218
16.215,364.961
16.194,363.945
16.144,362.377
16.139,363.972
16.124,365.191
16.027,364.709
16.018,362.999
16.043,361.68
16.029,359.4
16.033,358.725
16.04,360.352
16.044,363.305
16.035,364.896
16.015,364.59
16,361.082
15.997,360.492
15.91,361.049
15.906,360.55
15.906,361.665
15.9,361.151
