Date,Longitude,Latitude,Temp,P_sal,Temp_in_eq,Press_eq,xH2OEquilSamp,xCO2_dryWater,pCO2_eqT,pCO2,fCO2,QC Flag,QC Message
2018-08-29 19:30:06,10.751,57.573,17.125,35.000,17.280,1015.630,NaN,404.770,398.518,395.914,394.521,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
2018-08-29 19:33:10,10.752,57.586,17.168,35.000,17.340,1015.540,NaN,406.580,400.229,397.328,395.931,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
2018-08-29 19:34:43,10.752,57.593,17.227,35.000,17.380,1015.510,NaN,410.770,404.308,401.700,400.288,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
2018-08-29 19:36:16,10.753,57.600,17.328,35.000,17.410,1015.600,NaN,413.160,406.675,405.267,403.843,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
2018-08-29 19:37:49,10.753,57.606,17.377,35.000,17.500,1015.600,NaN,412.720,406.198,404.090,402.672,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
2018-08-29 19:39:21,10.754,57.613,17.453,35.000,17.590,1015.560,NaN,410.270,403.734,401.401,399.994,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
2018-08-29 19:40:54,10.754,57.620,17.473,35.000,17.620,1015.590,NaN,405.550,399.102,396.628,395.238,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
2018-08-29 19:42:27,10.755,57.627,17.492,35.000,17.640,1015.660,NaN,401.530,395.177,392.711,391.335,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
2018-08-29 19:44:00,10.756,57.633,17.541,35.000,17.670,1015.690,NaN,398.420,392.124,389.990,388.624,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
2018-08-29 19:45:32,10.758,57.640,17.529,35.000,17.710,1015.620,NaN,395.890,389.595,386.624,385.271,2,"Ambient Pressure changes too quickly (37); Ambient Pressure changes too quickly (1); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (1); Ambient Pressure is out of range (1); Ambient Pressure standard deviation is too large (1); Salinity constant for too long (1) (3); Ambient Pressure changes too quickly (39); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (841); Salinity constant for too long (1) fake (1); Salinity constant for too long;Ambient Pressure is out of range;Ambient Pressure standard deviation is too large;Ambient Pressure changes too quickly (1) (796); Ambient Pressure is out of range (20); Ambient Pressure standard deviation is too large (20); CO2 standard deviation is too large (3); Delta Temperature standard deviation is too large (14); Equilibrator Temperature standard deviation is too large (4); Intake Temperature standard deviation is too large (4); Salinity constant for too long (842); Salinity constant for too long (1) (1)"
