Type	error	PC Date	PC Time	GPS date	gps time	latitude	longitude	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	 atm press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	Aux. H2Oflow	cond temp	dry box temp	deck box temp	Fluke Temp2	Oxygen	Saturation	Optode Temp	WB Pressure	O2_Cal_status
GO TO SLEEP	0	29/08/18	09:46:18	//	09:46:18	57.0475	10.0547										0.00	4.16	-3.55	124.00	-23.38	9.89	9.89	9.89	4.02	16.795	277.599	97.082	19.640	1017.23	2
STD1	0	29/08/18	09:50:45	//	09:50:46	57.0476	10.0545	19.15	0.00	7.90	1.10	-28.46	-0.18	33.52	1017.00	1013.95	-0.05	0.05	84.85	124.00	-55.17	9.89	9.89	9.89	0.98	17.19	28.12	35.30	17.206	271.778	96.945	20.635	1017.25	2
STD2	0	29/08/18	09:55:16	//	09:55:16	57.0475	10.0544	19.59	189.97	1240.50	189.15	-28.92	-0.18	33.22	1017.00	1014.00	-0.03	0.05	72.21	124.00	-55.17	9.89	9.89	9.89	0.98	19.25	28.00	35.41	17.471	267.377	96.965	21.478	1017.30	2
STD3	0	29/08/18	09:59:46	//	09:59:47	57.0476	10.0543	19.94	395.35	2237.90	392.79	-29.33	-0.18	32.87	1017.10	1014.03	-0.04	0.05	77.75	124.00	-55.22	9.89	9.89	9.89	0.98	20.56	28.37	35.41	17.696	263.938	96.948	22.137	1017.35	2
STD4	0	29/08/18	10:04:17	//	10:04:17	57.0476	10.0544	20.23	519.92	2729.80	517.76	-28.21	-0.17	32.98	1017.20	1014.13	-0.04	0.05	67.00	124.00	95.43	9.89	9.89	9.89	0.98	21.50	28.44	35.51	17.882	261.140	96.858	22.644	1017.43	2
WAKE UP	0	29/08/18	18:47:12	//	18:47:12	57.3895	10.7416										0.01	0.05	-3.10	124.00	758.84	9.89	9.89	9.89	1.51	17.437	245.285	97.187	26.187	1015.73	1
STD1z-DRAIN	0	29/08/18	18:51:42	//	18:51:42	57.4089	10.7425	17.40	0.00	7.10	1.00	-7.87	-0.05	35.01	1015.50	1012.16	-0.10	2.86	75.89	124.00	-52.46	9.89	9.89	9.89	3.96	14.69	28.69	36.03	17.032	278.380	92.963	17.378	1015.77	1
STD4s	0	29/08/18	18:56:37	//	18:56:37	57.4297	10.7432	17.23	0.00	2712.40	515.78	-21.29	-0.13	35.03	1015.50	1012.18	-0.10	2.87	65.80	124.00	-47.53	9.89	9.89	9.89	4.00	8.87	28.94	36.03	17.018	291.954	97.244	17.254	1015.77	1
STD1	0	29/08/18	19:01:07	//	19:01:07	57.4487	10.7435	17.21	0.00	7.58	0.07	-29.33	-0.18	35.06	1015.50	1012.16	-0.10	2.90	79.12	124.00	-55.40	9.89	9.89	9.89	3.92	5.62	29.00	36.03	17.094	297.590	99.140	17.263	1015.75	1
STD2	0	29/08/18	19:05:38	//	19:05:38	57.4679	10.7443	17.28	189.97	1232.50	189.19	-29.87	-0.19	35.10	1015.50	1012.18	-0.16	2.90	73.77	124.00	-55.31	9.89	9.89	9.89	4.00	5.06	29.00	36.03	17.097	300.750	100.305	17.317	1015.76	1
STD3	0	29/08/18	19:10:08	//	19:10:08	57.4872	10.7452	17.30	395.35	2223.00	394.24	-32.54	-0.20	35.13	1015.50	1012.18	-0.05	2.89	79.32	124.00	100.12	9.89	9.89	9.89	3.94	5.00	28.94	35.93	17.110	303.208	101.155	17.331	1015.77	1
STD4	0	29/08/18	19:14:37	//	19:14:37	57.5063	10.7464	17.31	519.92	2712.00	519.99	-33.04	-0.21	35.16	1015.50	1012.23	-0.12	2.87	68.59	124.00	-55.21	9.89	9.89	9.89	3.92	4.87	29.00	35.93	17.139	304.300	101.555	17.348	1015.78	1
ATM	0	29/08/18	19:19:08	//	19:19:08	57.5256	10.7479	17.28	NaN	2243.00	399.71	235.12	1.59	35.19	1015.50	1012.19	-0.15	2.88	102.95	124.00	-54.35	9.89	9.89	9.89	3.92	4.81	28.94	35.93	17.103	302.049	100.739	17.317	1015.78	1
ATM	0	29/08/18	19:20:38	//	19:20:38	57.5321	10.7484	17.28	NaN	2243.10	399.75	234.16	1.58	35.20	1015.50	1012.22	-0.20	2.88	102.46	124.00	-52.83	9.89	9.89	9.89	3.90	5.12	28.94	35.93	17.151	300.291	100.196	17.338	1015.79	1
ATM	0	29/08/18	19:22:08	//	19:22:08	57.5385	10.7488	17.32	NaN	2242.80	399.66	232.54	1.57	35.20	1015.50	1012.23	-0.10	2.87	101.74	124.00	-52.81	9.89	9.89	9.89	3.96	4.87	29.00	35.93	17.123	299.680	100.015	17.349	1015.79	1
ATM	0	29/08/18	19:23:39	//	19:23:39	57.5451	10.7492	17.29	NaN	2243.00	399.74	231.20	1.56	35.21	1015.50	1012.19	-0.18	2.86	105.02	124.00	-54.36	9.89	9.89	9.89	3.92	4.94	28.94	35.93	17.093	299.654	99.949	17.321	1015.76	1
ATM	0	29/08/18	19:25:10	//	19:25:10	57.5516	10.7497	17.27	NaN	2243.00	399.74	228.91	1.54	35.22	1015.50	1012.19	-0.16	2.87	101.68	124.00	-55.00	9.89	9.89	9.89	4.00	5.00	29.00	35.93	17.103	299.958	100.029	17.311	1015.75	1
EQU	0	29/08/18	19:30:06	//	19:30:05	57.5729	10.7512	17.28	NaN	2263.40	404.77	245.04	1.66	35.24	1015.40	1012.15	-0.12	2.87	83.10	124.00	170.17	9.89	9.89	9.89	3.88	5.06	28.94	35.93	17.125	302.246	100.814	17.322	1015.75	1
EQU	0	29/08/18	19:31:37	//	19:31:37	57.5795	10.7515	17.31	NaN	2261.70	404.36	244.66	1.66	35.25	1015.40	1012.16	-0.14	2.87	82.26	124.00	-42.58	9.89	9.89	9.89	4.00	4.94	28.94	35.93	17.161	301.837	100.740	17.351	0.00	1
EQU	0	29/08/18	19:33:10	//	19:33:10	57.5863	10.7519	17.34	NaN	2270.90	406.58	241.62	1.64	35.26	1015.40	1012.17	-0.19	2.87	82.32	124.00	-42.25	9.89	9.89	9.89	3.90	4.94	28.94	35.82	17.168	301.137	100.558	17.376	1015.73	1
EQU	0	29/08/18	19:34:43	//	19:34:43	57.5930	10.7524	17.38	NaN	2288.00	410.77	238.95	1.62	35.27	1015.40	1012.17	-0.24	2.86	83.36	124.00	-51.34	9.89	9.89	9.89	4.00	4.94	29.00	35.82	17.227	300.132	100.328	17.427	1015.75	1
EQU	0	29/08/18	19:36:16	//	19:36:16	57.5998	10.7528	17.41	NaN	2297.70	413.16	235.91	1.60	35.26	1015.40	1012.21	-0.12	2.87	82.63	124.00	-53.18	9.89	9.89	9.89	3.98	4.81	29.00	35.82	17.328	299.616	100.275	17.484	1015.72	1
EQU	0	29/08/18	19:37:49	//	19:37:48	57.6065	10.7532	17.50	NaN	2296.00	412.72	234.04	1.58	35.28	1015.50	1012.21	-0.17	2.89	82.21	124.00	320.47	9.89	9.89	9.89	3.94	5.06	28.94	35.82	17.377	299.870	100.483	17.543	1015.77	1
EQU	0	29/08/18	19:39:21	//	19:39:21	57.6132	10.7536	17.59	NaN	2286.10	410.27	231.62	1.56	35.28	1015.50	1012.19	-0.20	2.88	82.94	124.00	318.87	9.89	9.89	9.89	3.94	4.81	28.94	35.82	17.453	299.550	100.576	17.640	1015.76	1
EQU	0	29/08/18	19:40:54	//	19:40:54	57.6200	10.7540	17.62	NaN	2266.60	405.55	229.58	1.55	35.28	1015.50	1012.24	-0.19	2.90	83.21	124.00	169.07	9.89	9.89	9.89	3.90	5.06	28.94	35.82	17.473	299.181	100.508	17.666	1015.78	1
EQU	0	29/08/18	19:42:27	//	19:42:27	57.6266	10.7551	17.64	NaN	2250.20	401.53	228.37	1.54	35.28	1015.50	1012.24	-0.13	2.89	83.00	124.00	-55.22	9.89	9.89	9.89	3.90	4.94	28.94	35.82	17.492	299.405	100.623	17.685	1015.79	1
EQU	0	29/08/18	19:44:00	//	19:44:00	57.6333	10.7562	17.67	NaN	2237.30	398.42	226.37	1.53	35.29	1015.50	1012.26	-0.16	2.87	83.36	124.00	-36.35	9.89	9.89	9.89	3.94	4.87	29.00	35.82	17.541	299.621	100.776	17.724	1015.85	1
EQU	0	29/08/18	19:45:32	//	19:45:32	57.6401	10.7575	17.71	NaN	2226.80	395.89	225.58	1.52	35.30	1015.50	1012.27	-0.22	2.87	83.15	124.00	-12.24	9.89	9.89	9.89	3.92	5.06	29.00	35.82	17.529	299.743	100.865	17.747	1015.84	1
EQU	0	29/08/18	19:47:05	//	19:47:05	57.6469	10.7585	17.69	NaN	2215.90	393.28	224.54	1.51	35.30	1015.50	1012.28	-0.13	2.88	84.95	124.00	-9.28	9.89	9.89	9.89	3.96	4.75	29.00	35.82	17.489	300.145	100.938	17.717	1015.87	1
EQU-DRAIN	0	29/08/18	19:48:38	//	19:48:38	57.6537	10.7597	17.64	NaN	2203.50	390.30	223.70	1.51	35.30	1015.60	1012.29	-0.14	2.88	83.47	124.00	-38.86	9.89	9.89	9.89	3.92	5.06	29.00	35.82	17.438	300.927	101.109	17.673	1015.88	1
EQU	0	29/08/18	19:50:32	//	19:50:32	57.6619	10.7611	17.60	NaN	2187.90	386.61	224.04	1.51	35.31	1015.60	1012.30	-0.13	2.89	84.05	124.00	104.34	9.89	9.89	9.89	3.88	4.81	28.94	35.82	17.421	300.807	100.993	17.637	1015.88	1
EQU	0	29/08/18	19:52:05	//	19:52:04	57.6685	10.7624	17.57	NaN	2191.00	387.34	222.08	1.50	35.31	1015.60	1012.33	-0.24	2.88	84.37	124.00	102.20	9.89	9.89	9.89	4.04	5.00	29.00	35.82	17.343	300.364	100.762	17.597	1015.89	1
EQU	0	29/08/18	19:53:37	//	19:53:37	57.6752	10.7633	17.51	NaN	2210.20	391.90	221.04	1.49	35.31	1015.60	1012.33	-0.17	2.89	85.86	124.00	23.51	9.89	9.89	9.89	3.94	4.81	28.94	35.82	17.309	298.191	99.898	17.533	1015.90	1
EQU	0	29/08/18	19:55:10	//	19:55:10	57.6820	10.7643	17.45	NaN	2235.10	397.85	220.12	1.48	35.32	1015.60	1012.38	-0.19	2.89	83.58	124.00	-55.36	9.89	9.89	9.89	3.98	5.06	29.00	35.82	17.201	297.121	99.388	17.459	1015.91	1
EQU	0	29/08/18	19:56:43	//	19:56:43	57.6888	10.7651	17.36	NaN	2263.30	404.65	218.91	1.47	35.32	1015.60	1012.35	-0.16	2.88	83.47	124.00	-55.44	9.89	9.89	9.89	3.90	4.94	29.00	35.72	17.169	295.505	98.699	17.386	1015.93	1
EQU	0	29/08/18	19:58:16	//	19:58:16	57.6957	10.7659	17.35	NaN	2295.30	412.47	218.25	1.47	35.32	1015.60	1012.38	-0.30	2.88	83.36	124.00	19.30	9.89	9.89	9.89	3.92	4.87	28.94	35.82	17.159	294.940	98.495	17.379	1015.94	1
EQU	0	29/08/18	19:59:49	//	19:59:49	57.7024	10.7671	17.33	NaN	2318.40	418.15	217.37	1.46	35.32	1015.60	1012.39	-0.20	2.89	83.36	124.00	22.55	9.89	9.89	9.89	3.90	5.12	29.00	35.72	17.184	295.474	98.657	17.371	1015.93	1
EQU	0	29/08/18	20:01:21	//	20:01:21	57.7091	10.7681	17.38	NaN	2335.90	422.48	216.79	1.46	35.33	1015.60	1012.37	-0.22	2.87	84.58	124.00	-52.03	9.89	9.89	9.89	3.98	4.87	29.00	35.72	17.255	295.681	98.840	17.426	15.95	1
EQU	0	29/08/18	20:02:54	//	20:02:54	57.7160	10.7691	17.44	NaN	2346.10	425.03	215.75	1.45	35.33	1015.60	1012.38	-0.13	2.87	83.36	124.00	-51.97	9.89	9.89	9.89	3.92	5.00	28.94	35.72	17.311	296.002	99.082	17.492	1015.94	1
EQU	0	29/08/18	20:04:27	//	20:04:27	57.7228	10.7694	17.50	NaN	2353.20	426.80	215.54	1.45	35.34	1015.60	1012.38	-0.19	2.87	84.58	124.00	-55.34	9.89	9.89	9.89	3.84	5.06	29.00	35.82	17.352	295.625	99.063	17.544	1015.94	1
EQU	0	29/08/18	20:06:00	//	20:06:00	57.7296	10.7694	17.52	NaN	2354.90	427.25	214.08	1.44	35.34	1015.50	1012.38	-0.18	2.88	83.84	124.00	-55.29	9.89	9.89	9.89	3.92	4.81	29.00	35.72	17.348	294.976	98.870	17.556	1015.96	1
EQU	0	29/08/18	20:07:33	//	20:07:33	57.7365	10.7695	17.53	NaN	2348.70	425.64	213.41	1.43	35.34	1015.60	1012.39	-0.20	2.88	82.21	124.00	-55.27	9.89	9.89	9.89	3.94	5.06	29.00	35.72	17.394	294.898	98.895	17.581	1015.98	1
EQU	0	29/08/18	20:09:06	//	20:09:05	57.7433	10.7695	17.56	NaN	2342.20	424.04	213.91	1.44	35.35	1015.60	1012.40	-0.10	2.87	82.63	124.00	-55.29	9.89	9.89	9.89	3.88	4.87	29.00	35.72	17.392	295.320	99.072	17.599	1015.99	1
EQU	0	29/08/18	20:10:38	//	20:10:38	57.7500	10.7696	17.56	NaN	2340.90	423.73	213.37	1.43	35.35	1015.60	1012.41	-0.20	2.84	82.84	124.00	-55.28	9.89	9.89	9.89	4.04	4.94	29.00	35.72	17.412	295.124	99.022	17.606	1015.97	1
EQU	0	29/08/18	20:12:11	//	20:12:11	57.7568	10.7694	17.58	NaN	2339.00	423.26	212.70	1.43	35.35	1015.60	1012.42	-0.25	2.85	83.10	124.00	-55.27	9.89	9.89	9.89	3.94	4.94	28.94	35.72	17.420	294.061	98.690	17.619	1015.96	1
EQU	0	29/08/18	20:13:44	//	20:13:44	57.7637	10.7683	17.58	NaN	2330.50	421.14	212.50	1.43	35.35	1015.70	1012.41	-0.14	2.85	85.49	124.00	-55.27	9.89	9.89	9.89	4.02	4.87	28.94	35.72	17.413	293.184	98.398	17.619	1015.97	1
EQU	0	29/08/18	20:15:17	//	20:15:17	57.7705	10.7665	17.58	NaN	2321.90	419.04	212.08	1.42	35.36	1015.60	1012.41	-0.22	2.86	82.94	124.00	-55.29	9.89	9.89	9.89	3.90	5.06	29.00	35.72	17.411	292.469	98.161	17.621	1015.97	1
EQU	0	29/08/18	20:16:51	//	20:16:51	57.7772	10.7632	17.57	NaN	2318.90	418.31	211.91	1.42	35.36	1015.60	1012.39	-0.25	2.84	83.47	124.00	-55.34	9.89	9.89	9.89	3.94	4.81	29.00	35.72	17.391	292.266	98.054	17.602	1015.97	1
EQU	0	29/08/18	20:18:24	//	20:18:24	57.7832	10.7574	17.55	NaN	2320.50	418.75	211.83	1.42	35.37	1015.60	1012.34	-0.13	2.86	84.37	124.00	-55.33	9.89	9.89	9.89	3.92	5.00	29.00	35.72	17.351	291.732	97.836	17.583	1015.92	1
EQU	0	29/08/18	20:19:57	//	20:19:57	57.7881	10.7487	17.51	NaN	2326.60	420.27	211.08	1.42	35.38	1015.50	1012.22	-0.17	2.83	83.31	124.00	-55.31	9.89	9.89	9.89	4.12	4.94	29.00	35.72	17.346	290.140	97.236	17.550	1015.86	1
EQU	0	29/08/18	20:21:29	//	20:21:29	57.7909	10.7375	17.52	NaN	2339.80	423.62	210.33	1.41	35.37	1015.40	1012.16	-0.16	2.83	82.68	124.00	-55.29	9.89	9.89	9.89	4.44	4.87	29.00	35.72	17.333	289.749	97.107	17.551	1015.76	1
EQU	0	29/08/18	20:23:02	//	20:23:02	57.7915	10.7252	17.50	NaN	2351.80	426.62	210.20	1.41	35.37	1015.40	1012.07	-0.26	2.85	81.95	124.00	-55.27	9.89	9.89	9.89	4.22	5.06	29.00	35.72	17.319	288.705	96.723	17.534	1015.66	1
EQU	0	29/08/18	20:24:35	//	20:24:35	57.7916	10.7124	17.49	NaN	2365.70	430.11	209.58	1.41	35.38	1015.30	1012.13	-0.25	2.85	84.63	124.00	-55.26	9.89	9.89	9.89	3.92	4.87	29.00	35.72	17.343	286.378	95.944	17.534	1015.67	1
EQU	0	29/08/18	20:26:08	//	20:26:08	57.7916	10.6993	17.51	NaN	2383.80	434.65	209.00	1.40	35.38	1015.30	1012.06	-0.21	2.84	84.10	124.00	-55.27	9.89	9.89	9.89	3.73	5.06	29.00	35.61	17.397	283.252	94.944	17.558	1015.67	1
EQU	0	29/08/18	20:27:41	//	20:27:41	57.7915	10.6862	17.57	NaN	2400.50	438.84	208.66	1.40	35.37	1015.30	1012.08	-0.21	2.85	82.47	124.00	-55.28	9.89	9.89	9.89	3.88	4.94	29.00	35.72	17.503	282.560	94.864	17.636	1015.66	1
EQU	0	29/08/18	20:29:13	//	20:29:13	57.7916	10.6734	17.69	NaN	2387.50	435.56	208.33	1.40	35.39	1015.40	1012.06	-0.16	2.84	84.26	124.00	-55.28	9.89	9.89	9.89	3.98	4.87	29.00	35.72	17.586	288.202	96.978	17.745	1015.66	1
EQU	0	29/08/18	20:30:46	//	20:30:46	57.7918	10.6605	17.75	NaN	2338.40	423.32	208.20	1.40	35.40	1015.40	1012.09	-0.18	2.83	82.32	124.00	-55.29	9.89	9.89	9.89	3.96	5.06	29.00	35.61	17.550	289.594	97.534	17.789	1015.65	1
EQU	0	29/08/18	20:32:19	//	20:32:19	57.7918	10.6475	17.70	NaN	2308.30	415.86	208.08	1.39	35.40	1015.40	1012.09	-0.22	2.85	83.10	124.00	-55.29	9.89	9.89	9.89	3.98	4.81	29.00	35.72	17.562	288.846	97.180	17.738	1015.65	1
EQU	0	29/08/18	20:33:52	//	20:33:52	57.7919	10.6347	17.74	NaN	2293.50	412.23	207.45	1.39	35.39	1015.40	1012.08	-0.09	2.85	83.84	124.00	19.43	9.89	9.89	9.89	3.92	5.00	28.94	35.72	17.592	288.379	97.100	17.776	1015.66	1
EQU	0	29/08/18	20:35:25	//	20:35:25	57.7920	10.6219	17.75	NaN	2288.50	411.03	207.33	1.39	35.40	1015.40	1012.08	-0.06	2.85	82.84	124.00	243.74	9.89	9.89	9.89	3.88	5.06	29.00	35.72	17.597	288.117	97.027	17.784	1015.64	1
