Year,Month,Day,Hour,Min,Sec,SSS
2018,8,28,16,45,2,35.0000
2018,8,28,17,2,22,35.0000
2018,8,28,17,3,34,35.0000
2018,8,28,17,4,47,35.0000
2018,8,28,17,5,59,35.0000
2018,8,28,17,7,12,35.0000
2018,8,28,17,8,25,35.0000
2018,8,28,17,9,38,35.0000
2018,8,28,17,10,51,35.0000
2018,8,28,17,12,1,35.0000
2018,8,28,17,13,13,35.0000
2018,8,28,17,14,26,35.0000
2018,8,28,17,15,39,35.0000
2018,8,28,17,16,51,35.0000
2018,8,28,17,18,4,35.0000
2018,8,28,17,19,15,35.0000
2018,8,28,17,20,28,35.0000
2018,8,28,17,21,40,35.0000
2018,8,28,17,22,53,35.0000
2018,8,28,17,24,5,35.0000
2018,8,28,17,25,18,35.0000
2018,8,28,17,26,31,35.0000
2018,8,28,17,27,44,35.0000
2018,8,28,17,28,57,35.0000
2018,8,28,17,30,9,35.0000
2018,8,28,17,31,21,35.0000
2018,8,28,17,32,34,35.0000
2018,8,28,17,33,47,35.0000
2018,8,28,17,34,57,35.0000
2018,8,28,17,36,9,35.0000
2018,8,28,17,37,22,35.0000
2018,8,28,17,38,35,35.0000
2018,8,28,17,39,47,35.0000
2018,8,28,17,40,59,35.0000
2018,8,28,17,42,11,35.0000
2018,8,28,17,43,22,35.0000
2018,8,28,17,44,34,35.0000
2018,8,28,17,45,46,35.0000
2018,8,28,17,46,59,35.0000
2018,8,28,17,48,12,35.0000
2018,8,28,17,49,25,35.0000
2018,8,28,17,50,37,35.0000
2018,8,28,17,51,49,35.0000
2018,8,28,17,53,2,35.0000
2018,8,28,17,54,14,35.0000
2018,8,28,17,55,27,35.0000
2018,8,28,17,56,38,35.0000
2018,8,28,17,57,50,35.0000
2018,8,28,17,59,2,35.0000
2018,8,28,18,0,15,35.0000
2018,8,28,18,1,28,35.0000
2018,8,28,18,2,59,35.0000
2018,8,28,18,4,11,35.0000
2018,8,28,18,5,23,35.0000
2018,8,28,18,6,34,35.0000
2018,8,28,18,7,46,35.0000
2018,8,28,17,36,45,35.0000
2018,8,29,9,33,8,35.0000
2018,8,29,9,37,35,35.0000
2018,8,29,9,42,5,35.0000
2018,8,29,9,46,18,35.0000
2018,8,29,9,50,45,35.0000
2018,8,29,9,55,16,35.0000
2018,8,29,9,59,46,35.0000
2018,8,29,10,4,17,35.0000
2018,8,29,18,47,12,35.0000
2018,8,29,18,51,42,35.0000
2018,8,29,18,56,37,35.0000
2018,8,29,19,1,7,35.0000
2018,8,29,19,5,38,35.0000
2018,8,29,19,10,8,35.0000
2018,8,29,19,14,37,35.0000
2018,8,29,19,19,8,35.0000
2018,8,29,19,20,38,35.0000
2018,8,29,19,22,8,35.0000
2018,8,29,19,23,39,35.0000
2018,8,29,19,25,10,35.0000
2018,8,29,19,30,6,35.0000
2018,8,29,19,31,37,35.0000
2018,8,29,19,33,10,35.0000
2018,8,29,19,34,43,35.0000
2018,8,29,19,36,16,35.0000
2018,8,29,19,37,49,35.0000
2018,8,29,19,39,21,35.0000
2018,8,29,19,40,54,35.0000
2018,8,29,19,42,27,35.0000
2018,8,29,19,44,0,35.0000
2018,8,29,19,45,32,35.0000
2018,8,29,19,47,5,35.0000
2018,8,29,19,48,38,35.0000
2018,8,29,19,50,32,35.0000
2018,8,29,19,52,5,35.0000
2018,8,29,19,53,37,35.0000
2018,8,29,19,55,10,35.0000
2018,8,29,19,56,43,35.0000
2018,8,29,19,58,16,35.0000
2018,8,29,19,59,49,35.0000
2018,8,29,20,1,21,35.0000
2018,8,29,20,2,54,35.0000
2018,8,29,20,4,27,35.0000
2018,8,29,20,6,0,35.0000
2018,8,29,20,7,33,35.0000
2018,8,29,20,9,6,35.0000
2018,8,29,20,10,38,35.0000
2018,8,29,20,12,11,35.0000
2018,8,29,20,13,44,35.0000
2018,8,29,20,15,17,35.0000
2018,8,29,20,16,51,35.0000
2018,8,29,20,18,24,35.0000
2018,8,29,20,19,57,35.0000
2018,8,29,20,21,29,35.0000
2018,8,29,20,23,2,35.0000
2018,8,29,20,24,35,35.0000
2018,8,29,20,26,8,35.0000
2018,8,29,20,27,41,35.0000
2018,8,29,20,29,13,35.0000
2018,8,29,20,30,46,35.0000
2018,8,29,20,32,19,35.0000
2018,8,29,20,33,52,35.0000
2018,8,29,20,35,25,35.0000
2018,8,29,20,36,58,35.0000
2018,8,29,20,38,30,35.0000
2018,8,29,20,40,3,35.0000
2018,8,29,20,41,36,35.0000
2018,8,29,20,43,9,35.0000
2018,8,29,20,44,41,35.0000
2018,8,29,20,46,14,35.0000
2018,8,29,20,47,47,35.0000
2018,8,29,20,49,20,35.0000
2018,8,29,20,51,13,35.0000
2018,8,29,20,52,46,35.0000
2018,8,29,20,54,19,35.0000
2018,8,29,20,55,52,35.0000
2018,8,29,20,57,25,35.0000
2018,8,29,20,58,58,35.0000
2018,8,29,21,0,30,35.0000
2018,8,29,21,2,3,35.0000
2018,8,29,21,3,36,35.0000
2018,8,29,21,5,9,35.0000
2018,8,29,21,6,42,35.0000
2018,8,29,21,8,14,35.0000
2018,8,29,21,9,47,35.0000
2018,8,29,21,11,21,35.0000
2018,8,29,21,12,53,35.0000
2018,8,29,21,14,26,35.0000
2018,8,29,21,15,58,35.0000
2018,8,29,21,17,31,35.0000
2018,8,29,21,19,4,35.0000
2018,8,29,21,20,37,35.0000
2018,8,29,21,22,9,35.0000
2018,8,29,21,23,42,35.0000
2018,8,29,21,25,15,35.0000
2018,8,29,21,26,48,35.0000
2018,8,29,21,28,21,35.0000
2018,8,29,21,29,53,35.0000
2018,8,29,21,31,26,35.0000
2018,8,29,21,32,59,35.0000
2018,8,29,21,37,30,35.0000
2018,8,29,21,41,59,35.0000
2018,8,29,21,46,29,35.0000
2018,8,29,21,50,59,35.0000
2018,8,29,21,55,51,35.0000
2018,8,29,21,57,21,35.0000
2018,8,29,21,58,51,35.0000
2018,8,29,22,0,22,35.0000
2018,8,29,22,1,52,35.0000
2018,8,29,22,6,49,35.0000
2018,8,29,22,8,20,35.0000
2018,8,29,22,9,53,35.0000
2018,8,29,22,11,26,35.0000
2018,8,29,22,12,59,35.0000
2018,8,29,22,14,32,35.0000
2018,8,29,22,16,4,35.0000
2018,8,29,22,17,37,35.0000
2018,8,29,22,19,10,35.0000
2018,8,29,22,20,43,35.0000
2018,8,29,22,22,16,35.0000
2018,8,29,22,23,48,35.0000
2018,8,29,22,25,21,35.0000
2018,8,29,22,26,54,35.0000
2018,8,29,22,28,27,35.0000
2018,8,29,22,30,0,35.0000
2018,8,29,22,31,32,35.0000
2018,8,29,22,33,5,35.0000
2018,8,29,22,34,38,35.0000
2018,8,29,22,36,12,35.0000
2018,8,29,22,37,45,35.0000
2018,8,29,22,39,18,35.0000
2018,8,29,22,40,50,35.0000
2018,8,29,22,42,23,35.0000
2018,8,29,22,43,56,35.0000
2018,8,29,22,45,29,35.0000
2018,8,29,22,47,2,35.0000
2018,8,29,22,48,35,35.0000
2018,8,29,22,50,28,35.0000
2018,8,29,22,52,2,35.0000
2018,8,29,22,53,35,35.0000
2018,8,29,22,55,8,35.0000
2018,8,29,22,56,41,35.0000
2018,8,29,22,58,13,35.0000
2018,8,29,22,59,46,35.0000
2018,8,29,23,1,19,35.0000
2018,8,29,23,2,52,35.0000
2018,8,29,23,4,24,35.0000
2018,8,29,23,5,57,35.0000
2018,8,29,23,7,30,35.0000
2018,8,29,23,9,3,35.0000
2018,8,29,23,10,35,35.0000
2018,8,29,23,12,8,35.0000
2018,8,29,23,13,41,35.0000
2018,8,29,23,15,14,35.0000
2018,8,29,23,16,47,35.0000
2018,8,29,23,18,19,35.0000
2018,8,29,23,19,52,35.0000
2018,8,29,23,21,25,35.0000
2018,8,29,23,22,58,35.0000
2018,8,29,23,24,30,35.0000
2018,8,29,23,26,3,35.0000
2018,8,29,23,27,36,35.0000
2018,8,29,23,29,8,35.0000
2018,8,29,23,30,41,35.0000
2018,8,29,23,32,14,35.0000
2018,8,29,23,33,47,35.0000
2018,8,29,23,35,19,35.0000
2018,8,29,23,36,52,35.0000
2018,8,29,23,38,25,35.0000
2018,8,29,23,39,57,35.0000
2018,8,29,23,41,30,35.0000
2018,8,29,23,43,3,35.0000
2018,8,29,23,44,36,35.0000
2018,8,29,23,46,8,35.0000
2018,8,29,23,47,41,35.0000
2018,8,29,23,49,14,35.0000
2018,8,29,23,51,7,35.0000
2018,8,29,23,52,40,35.0000
2018,8,29,23,54,13,35.0000
2018,8,29,23,55,45,35.0000
2018,8,29,23,57,18,35.0000
2018,8,29,23,58,51,35.0000
2018,8,30,0,0,23,35.0000
2018,8,30,0,1,56,35.0000
2018,8,30,0,3,29,35.0000
2018,8,30,0,5,1,35.0000
2018,8,30,0,6,34,35.0000
2018,8,30,0,8,7,35.0000
2018,8,30,0,9,39,35.0000
2018,8,30,0,14,10,35.0000
2018,8,30,0,18,40,35.0000
2018,8,30,0,23,11,35.0000
2018,8,30,0,27,41,35.0000
2018,8,30,0,32,12,35.0000
2018,8,30,0,33,42,35.0000
2018,8,30,0,35,13,35.0000
2018,8,30,0,36,43,35.0000
2018,8,30,0,38,13,35.0000
2018,8,30,0,43,10,35.0000
2018,8,30,0,44,43,35.0000
2018,8,30,0,46,15,35.0000
2018,8,30,0,47,48,35.0000
2018,8,30,0,49,20,35.0000
2018,8,30,0,51,14,35.0000
2018,8,30,0,52,46,35.0000
2018,8,30,0,54,19,35.0000
2018,8,30,0,55,52,35.0000
2018,8,30,0,57,24,35.0000
2018,8,30,0,58,57,35.0000
2018,8,30,1,0,30,35.0000
2018,8,30,1,2,4,35.0000
2018,8,30,1,3,36,35.0000
2018,8,30,1,5,9,35.0000
2018,8,30,1,6,42,35.0000
2018,8,30,1,8,14,35.0000
2018,8,30,1,9,47,35.0000
2018,8,30,1,11,20,35.0000
2018,8,30,1,12,53,35.0000
2018,8,30,1,14,25,35.0000
2018,8,30,1,15,57,35.0000
2018,8,30,1,17,30,35.0000
2018,8,30,1,19,3,35.0000
2018,8,30,1,20,35,35.0000
2018,8,30,1,22,8,35.0000
2018,8,30,1,23,41,35.0000
2018,8,30,1,25,13,35.0000
2018,8,30,1,26,46,35.0000
2018,8,30,1,28,19,35.0000
2018,8,30,1,29,51,35.0000
2018,8,30,1,31,24,35.0000
2018,8,30,1,32,56,35.0000
2018,8,30,1,34,29,35.0000
2018,8,30,1,36,2,35.0000
2018,8,30,1,37,34,35.0000
2018,8,30,1,39,7,35.0000
2018,8,30,1,40,40,35.0000
2018,8,30,1,42,12,35.0000
2018,8,30,1,43,45,35.0000
2018,8,30,1,45,17,35.0000
2018,8,30,1,46,50,35.0000
2018,8,30,1,48,24,35.0000
2018,8,30,1,49,57,35.0000
2018,8,30,1,51,50,35.0000
2018,8,30,1,53,24,35.0000
2018,8,30,1,54,57,35.0000
2018,8,30,1,56,29,35.0000
2018,8,30,1,58,2,35.0000
2018,8,30,1,59,35,35.0000
2018,8,30,2,1,7,35.0000
2018,8,30,2,2,40,35.0000
2018,8,30,2,4,14,35.0000
2018,8,30,2,5,47,35.0000
2018,8,30,2,7,19,35.0000
2018,8,30,2,8,52,35.0000
2018,8,30,2,10,24,35.0000
2018,8,30,2,11,57,35.0000
2018,8,30,2,13,30,35.0000
2018,8,30,2,15,2,35.0000
2018,8,30,2,16,35,35.0000
2018,8,30,2,18,8,35.0000
2018,8,30,2,19,40,35.0000
2018,8,30,2,21,14,35.0000
2018,8,30,2,22,47,35.0000
2018,8,30,2,24,19,35.0000
2018,8,30,2,25,52,35.0000
2018,8,30,2,27,25,35.0000
2018,8,30,2,28,57,35.0000
2018,8,30,2,30,30,35.0000
2018,8,30,2,32,2,35.0000
2018,8,30,2,33,35,35.0000
2018,8,30,2,35,8,35.0000
2018,8,30,2,36,40,35.0000
2018,8,30,2,38,14,35.0000
2018,8,30,2,39,47,35.0000
2018,8,30,2,41,20,35.0000
2018,8,30,2,42,52,35.0000
2018,8,30,2,44,25,35.0000
2018,8,30,2,45,57,35.0000
2018,8,30,2,50,28,35.0000
2018,8,30,2,55,19,35.0000
2018,8,30,2,59,49,35.0000
2018,8,30,3,4,20,35.0000
2018,8,30,3,8,54,35.0000
2018,8,30,3,13,28,35.0000
2018,8,30,3,17,59,35.0000
2018,8,30,3,22,30,35.0000
2018,8,30,3,27,0,35.0000
2018,8,30,3,31,30,35.0000
2018,8,30,3,36,1,35.0000
2018,8,30,3,37,32,35.0000
2018,8,30,3,39,2,35.0000
2018,8,30,3,40,32,35.0000
2018,8,30,3,42,2,35.0000
2018,8,30,3,46,58,35.0000
2018,8,30,3,48,31,35.0000
2018,8,30,3,50,5,35.0000
2018,8,30,3,51,59,35.0000
2018,8,30,3,53,31,35.0000
2018,8,30,3,55,4,35.0000
2018,8,30,3,56,36,35.0000
2018,8,30,3,58,9,35.0000
2018,8,30,3,59,42,35.0000
2018,8,30,4,1,14,35.0000
2018,8,30,4,2,47,35.0000
2018,8,30,4,4,20,35.0000
2018,8,30,4,5,52,35.0000
2018,8,30,4,7,25,35.0000
2018,8,30,4,8,57,35.0000
2018,8,30,4,10,30,35.0000
2018,8,30,4,12,3,35.0000
2018,8,30,4,13,35,35.0000
2018,8,30,4,15,8,35.0000
2018,8,30,4,16,41,35.0000
2018,8,30,4,18,13,35.0000
2018,8,30,4,19,46,35.0000
2018,8,30,4,21,18,35.0000
2018,8,30,4,22,51,35.0000
2018,8,30,4,24,24,35.0000
2018,8,30,4,25,56,35.0000
2018,8,30,4,27,29,35.0000
2018,8,30,4,29,1,35.0000
2018,8,30,4,30,35,35.0000
2018,8,30,4,32,8,35.0000
2018,8,30,4,33,41,35.0000
2018,8,30,4,35,13,35.0000
2018,8,30,4,36,46,35.0000
2018,8,30,4,38,19,35.0000
2018,8,30,4,39,52,35.0000
2018,8,30,4,41,24,35.0000
2018,8,30,4,42,57,35.0000
2018,8,30,4,44,30,35.0000
2018,8,30,4,46,2,35.0000
2018,8,30,4,47,35,35.0000
2018,8,30,4,49,7,35.0000
2018,8,30,4,51,1,35.0000
2018,8,30,4,52,34,35.0000
2018,8,30,4,54,6,35.0000
2018,8,30,4,55,39,35.0000
2018,8,30,4,57,11,35.0000
2018,8,30,4,58,45,35.0000
2018,8,30,5,0,18,35.0000
2018,8,30,5,1,51,35.0000
2018,8,30,5,3,23,35.0000
2018,8,30,5,4,56,35.0000
2018,8,30,5,6,29,35.0000
2018,8,30,5,8,1,35.0000
2018,8,30,5,9,34,35.0000
