Action 1,ID 1,Month 1,Target 1,Change Value 1,Action 2,ID 2,Month 2,Target 2,Change Value 2,Invalid,Affected Datasets,Can Reprocess
ADD,,1,6.F,,ADD,,1,6.F,,true,,
ADD,,1,6.F,,ADD,,1,6.Runtime,,,,
ADD,,1,6.F,,EDIT,1,2,6.F,true,,1;2;3,true;true;true
ADD,,1,6.F,,EDIT,1,1,6.F,false,true,,
ADD,,1,6.F,,EDIT,1,1,6.F,true,true,,
ADD,,1,6.F,,EDIT,1,1,6.Runtime,false,,1;2;3,true;true;true
ADD,,1,6.F,,EDIT,1,1,6.Runtime,true,,1;2;3,true;true;true
ADD,,1,6.F,,EDIT,1,3,6.F,false,true,,
ADD,,1,6.F,,EDIT,1,3,6.F,true,true,,
ADD,,1,6.F,,EDIT,1,3,6.Runtime,false,true,,
ADD,,1,6.F,,EDIT,1,3,6.Runtime,true,true,,
ADD,,1,6.F,,EDIT,1,9,6.F,false,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,1,9,6.F,true,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,1,9,6.Runtime,false,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,1,9,6.Runtime,true,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,DELETE,1,,,,,1;2;3,true;true;true
ADD,,1,6.F,,EDIT,2,2,6.Runtime,true,,1,true
ADD,,1,6.F,,EDIT,2,1,6.Runtime,false,,1,true
ADD,,1,6.F,,EDIT,2,1,6.F,false,true,,
ADD,,1,6.F,,EDIT,2,1,6.Runtime,true,,1,true
ADD,,1,6.F,,EDIT,2,1,6.F,true,true,,
ADD,,1,6.F,,EDIT,2,3,6.Runtime,false,true,,
ADD,,1,6.F,,EDIT,2,3,6.F,false,true,,
ADD,,1,6.F,,EDIT,2,3,6.Runtime,true,true,,
ADD,,1,6.F,,EDIT,2,3,6.F,true,true,,
ADD,,1,6.F,,EDIT,2,9,6.Runtime,false,,1;4,false;true
ADD,,1,6.F,,EDIT,2,9,6.F,false,,1;4,false;true
ADD,,1,6.F,,EDIT,2,9,6.Runtime,true,,1;4,false;true
ADD,,1,6.F,,EDIT,2,9,6.F,true,,1;4,false;true
ADD,,1,6.F,,DELETE,2,,,,,1,false
ADD,,1,6.F,,ADD,,3,6.F,,true,,
ADD,,1,6.F,,ADD,,3,6.Runtime,,true,,
ADD,,1,6.F,,ADD,,4,6.F,,,1;2;3,true;true;true
ADD,,1,6.F,,ADD,,4,6.Runtime,,,1,true
ADD,,1,6.F,,ADD,,5,6.F,,,1;2;3,true;true;true
ADD,,1,6.F,,ADD,,6,6.F,,,1;2;3,true;true;true
ADD,,1,6.F,,ADD,,6,6.Runtime,,,2;3,true;true
ADD,,1,6.F,,EDIT,4,7,6.F,true,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,6,6.F,false,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,6,6.Runtime,false,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,6,6.F,true,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,6,6.Runtime,true,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,8,6.F,false,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,8,6.Runtime,false,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,8,6.F,true,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,8,6.Runtime,true,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,1,6.F,false,true,,
ADD,,1,6.F,,EDIT,4,1,6.Runtime,false,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,4,1,6.F,true,true,,
ADD,,1,6.F,,EDIT,4,1,6.Runtime,true,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,DELETE,4,,,,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,5,7,6.Runtime,true,,2;3;4,true;true;true
ADD,,1,6.F,,EDIT,5,6,6.Runtime,false,,2;3;4,true;true;true
ADD,,1,6.F,,EDIT,5,6,6.F,false,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,5,6,6.Runtime,true,,2;3;4,true;true;true
ADD,,1,6.F,,EDIT,5,6,6.F,true,,1;2;3;4,true;true;true;true
ADD,,1,6.F,,EDIT,5,8,6.Runtime,false,,2;3;4,true;true;true
ADD,,1,6.F,,EDIT,5,8,6.F,false,,2;3;4,true;true;true
ADD,,1,6.F,,EDIT,5,8,6.Runtime,true,,2;3;4,true;true;true
ADD,,1,6.F,,EDIT,5,8,6.F,true,,2;3;4,true;true;true
ADD,,1,6.F,,DELETE,5,,,,,2;3;4,true;true;true
ADD,,1,6.F,,ADD,,8,6.F,,,4,true
ADD,,1,6.F,,ADD,,8,6.Runtime,,,4,true
ADD,,1,6.Runtime,,ADD,,1,6.F,,,,
ADD,,1,6.Runtime,,ADD,,1,6.Runtime,,true,,
ADD,,1,6.Runtime,,EDIT,1,2,6.F,true,,1;2;3,true;true;true
ADD,,1,6.Runtime,,EDIT,1,1,6.F,false,,1;2;3,true;true;true
ADD,,1,6.Runtime,,EDIT,1,1,6.F,true,,1;2;3,true;true;true
ADD,,1,6.Runtime,,EDIT,1,1,6.Runtime,false,true,,
ADD,,1,6.Runtime,,EDIT,1,1,6.Runtime,true,true,,
ADD,,1,6.Runtime,,EDIT,1,3,6.F,false,true,,
ADD,,1,6.Runtime,,EDIT,1,3,6.F,true,true,,
ADD,,1,6.Runtime,,EDIT,1,3,6.Runtime,false,true,,
ADD,,1,6.Runtime,,EDIT,1,3,6.Runtime,true,true,,
ADD,,1,6.Runtime,,EDIT,1,9,6.F,false,,1;2;3;4,false;false;false;true
ADD,,1,6.Runtime,,EDIT,1,9,6.F,true,,1;2;3;4,false;false;false;true
ADD,,1,6.Runtime,,EDIT,1,9,6.Runtime,false,,1;2;3;4,false;false;false;true
