Action,ID,Month,Target,Change Value,Affected Datasets,Can Reprocess
ADD,,1,6.F,,,
ADD,,1,6.Runtime,,,
EDIT,1,2,6.F,true,1;2;3,true;true;true
EDIT,1,1,6.F,false,1;2;3,true;true;true
EDIT,1,1,6.F,true,1;2;3,true;true;true
EDIT,1,1,6.Runtime,false,1;2;3,false;false;false
EDIT,1,1,6.Runtime,true,1;2;3,false;false;false
EDIT,1,9,6.F,false,1;2;3;4,false;false;false;true
EDIT,1,9,6.F,true,1;2;3;4,false;false;false;true
EDIT,1,9,6.Runtime,false,1;2;3;4,false;false;false;true
EDIT,1,9,6.Runtime,true,1;2;3;4,false;false;false;true
DELETE,1,,,,1;2;3,false;false;false
EDIT,2,2,6.Runtime,true,1,true
EDIT,2,1,6.Runtime,false,1,true
EDIT,2,1,6.F,false,1,false
EDIT,2,1,6.Runtime,true,1,true
EDIT,2,1,6.F,true,1,false
EDIT,2,9,6.Runtime,false,1;4,false;true
EDIT,2,9,6.F,false,1;4,false;true
EDIT,2,9,6.Runtime,true,1;4,false;true
EDIT,2,9,6.F,true,1;4,false;true
DELETE,2,,,,1,false
ADD,,4,6.F,,1;2;3,true;true;true
ADD,,4,6.Runtime,,1,true
ADD,,5,6.F,,1;2;3,true;true;true
ADD,,6,6.F,,1;2;3,true;true;true
ADD,,6,6.Runtime,,2;3,true;true
EDIT,4,7,6.F,true,1;2;3;4,true;true;true;true
EDIT,4,6,6.F,false,1;2;3;4,true;true;true;true
EDIT,4,6,6.Runtime,false,1;2;3;4,true;true;true;true
EDIT,4,6,6.F,true,1;2;3;4,true;true;true;true
EDIT,4,6,6.Runtime,true,1;2;3;4,true;true;true;true
EDIT,4,8,6.F,false,1;2;3;4,true;true;true;true
EDIT,4,8,6.Runtime,false,1;2;3;4,true;true;true;true
EDIT,4,8,6.F,true,1;2;3;4,true;true;true;true
EDIT,4,8,6.Runtime,true,1;2;3;4,true;true;true;true
EDIT,4,1,6.F,false,1;2;3;4,true;true;true;true
EDIT,4,1,6.Runtime,false,1;2;3;4,true;true;true;true
EDIT,4,1,6.F,true,1;2;3;4,true;true;true;true
EDIT,4,1,6.Runtime,true,1;2;3;4,true;true;true;true
DELETE,4,,,,1;2;3;4,true;true;true;true
EDIT,5,7,6.Runtime,true,2;3;4,true;true;true
EDIT,5,6,6.Runtime,false,2;3;4,true;true;true
EDIT,5,6,6.F,false,1;2;3;4,true;true;true;true
EDIT,5,6,6.Runtime,true,2;3;4,true;true;true
EDIT,5,6,6.F,true,1;2;3;4,true;true;true;true
EDIT,5,8,6.Runtime,false,2;3;4,true;true;true
EDIT,5,8,6.F,false,2;3;4,true;true;true
EDIT,5,8,6.Runtime,true,2;3;4,true;true;true
EDIT,5,8,6.F,true,2;3;4,true;true;true
DELETE,5,,,,2;3;4,true;true;true
ADD,,8,6.F,,4,true
ADD,,8,6.Runtime,,4,true
