Edited ID 1,Time 1,Target 1,Edited ID 2,Time 2,Target 2,Affected Datasets,Can be reprocessed?,Datasets Status
-1,2019-06-01T00:00:00Z,TARGET1,,,,,,0
-1,2019-06-04T00:00:00Z,TARGET1,,,,A;B,true;true,1
-1,2019-06-21T00:00:00Z,TARGET3,,,,,,0
-1,2019-06-17T00:00:00Z,TARGET1,,,,D,true,1
-1,2019-06-14T00:00:00Z,TARGET2,,,,D,true,1
-1,2019-06-02T00:00:00Z,TARGET3,,,,A,true,1
-1,2019-06-19T00:00:00Z,TARGET3,,,,C;D,true;true,1
1009,,,,,,A;B;C,true;true;true,1
1001,,,,,,A;B,false;false,-1
1016,,,,,,A,false,-1
1001,,,1016,,,A;B,false;false,-1
1014,,,,,,D,true,1
1019,,,,,,C;D,true;true,1
1014,,,1019,,,C;D,true;true,1
1019,,,1014,,,C;D,true;true,1
1010,,,,,,A;B;C,true;true;true,1
1018,,,,,,A;B;C;D,true;true;true;true,1
1012,,,,,,D,true,1
1005,,,,,,D,true,1
1010,,,1018,,,A;B;C;D,true;true;true;true,1
1004,,,,,,,,0
1009,,,,,,A;B;C,true;true;true,1
1007,,,,,,,,0
1015,,,,,,D,true,1
1006,,,,,,D,true,1
1006,,,1007,,,D,true,1
1013,,,,,,D,true,1
1001,2019-06-01T00:00:00Z,TARGET1,,,,A;B,true;true,1
1001,2019-06-04T00:00:00Z,TARGET1,,,,A;B,false;true,-1
1001,2019-06-01T00:00:00Z,TARGET3,,,,A;B,false;false,-1
1016,2019-06-08T00:00:00Z,TARGET3,,,,A;B;C,false;true;true,-1
1016,2019-06-08T00:00:00Z,TARGET2,,,,A;B;C,false;true;true,-1
1007,2019-06-21T00:00:00Z,TARGET1,,,,,,0
1008,2019-06-21T00:00:00Z,TARGET2,,,,,,0
1008,2019-06-30T00:00:00Z,TARGET2,,,,,,0
1005,2019-06-16T00:00:00Z,TARGET1,,,,D,true,1
1004,2019-06-12T12:00:00Z,TARGET3,,,,C;D,true;true,1
1018,2019-06-12T00:00:00Z,TARGET1,,,,A;B;C;D,true;true;true;true,1
1011,2019-06-13T01:00:00Z,TARGET3,,,,C;D,true;true,1
1002,2019-06-07T12:00:00Z,TARGET1,,,,A;B;C,true;true;true,1
1002,2019-06-01T00:00:00Z,TARGET1,,,,A;B;C,true;true;true,1
1013,2019-06-21T00:00:00Z,TARGET1,,,,D,true,1
1013,2019-06-21T00:00:00Z,TARGET2,,,,D,true,1
1013,2019-06-21T00:00:00Z,TARGET3,,,,D,true,1
