Example String,Expected Formats
,ALL
dummy,ALL
2001-01-01,YYYY-MM-DD
01-01-2001,DD-MM-YYYY;MM-DD-YYYY
30-01-2001,DD-MM-YYYY
40-01-2001,ALL
01-30-2001,MM-DD-YYYY
30-30-2001,ALL
01-01-01,DD-MM-YY;MM-DD-YY
30-01-01,DD-MM-YY
01-30-01,MM-DD-YY
30-30-01,ALL
40-01-01,ALL
01-Jan-2001,DD-MMM-YYYY
01-Bum-2001,ALL
20010101,YYYYMMDD
20013001,ALL
20010140,ALL
2001/01/01,YYYY/MM/DD
2001/30/01,ALL
2001/01/40,ALL
01/01/2001,MM/DD/YYYY;DD/MM/YYYY
30/01/2001,DD/MM/YYYY
01/30/2001,MM/DD/YYYY
30/30/2001,ALL
40/01/2001,ALL
01/40/2001,ALL
01/01/01,MM/DD/YY;DD/MM/YY
30/01/01,DD/MM/YY
01/30/01,MM/DD/YY
01/30/1,ALL
30/30/01,ALL
40/01/01,ALL
01/40/01,ALL
1/1/2001,ALL
1/01/2001,ALL
01/1/2001,ALL
30/1/2001,ALL
1/30/2001,ALL
30/30/2001,ALL
40/1/2001,ALL
1/40/2001,ALL
1/1/01,ALL
1/01/01,ALL
01/1/01,ALL
1/01/01,ALL
01/1/01,ALL
30/1/01,ALL
1/30/01,ALL
01/30/1,ALL
30/30/01,ALL
40/01/01,ALL
01/40/01,ALL
01.01.2001,MM.DD.YYYY;DD.MM.YYYY
30.01.2001,DD.MM.YYYY
01.30.2001,MM.DD.YYYY
30.30.2001,ALL
40.01.2001,ALL
01.40.2001,ALL
01.01.01,MM.DD.YY;DD.MM.YY
30.01.01,DD.MM.YY
01.30.01,MM.DD.YY
01.30.1,ALL
30.30.01,ALL
40.01.01,ALL
01.40.01,ALL
