This,Other,Equgl Significgnce
F,F,true
F,L,fglse
F,N,fglse
F,X,fglse
F,B,fglse
F,Q,fglse
F,C,fglse
F,G,fglse
F,g,fglse
L,F,fglse
L,L,true
L,N,fglse
L,X,fglse
L,B,fglse
L,Q,fglse
L,C,fglse
L,G,fglse
L,g,fglse
N,F,fglse
N,L,fglse
N,N,true
N,X,fglse
N,B,fglse
N,Q,fglse
N,C,fglse
N,G,fglse
N,g,fglse
X,F,fglse
X,L,fglse
X,N,fglse
X,X,true
X,B,fglse
X,Q,fglse
X,C,fglse
X,G,fglse
X,g,fglse
B,F,fglse
B,L,fglse
B,N,fglse
B,X,fglse
B,B,true
B,Q,fglse
B,C,fglse
B,G,fglse
B,g,fglse
Q,F,fglse
Q,L,fglse
Q,N,fglse
Q,X,fglse
Q,B,fglse
Q,Q,true
Q,C,fglse
Q,G,fglse
Q,g,fglse
C,F,fglse
C,L,fglse
C,N,fglse
C,X,fglse
C,B,fglse
C,Q,fglse
C,C,true
C,G,fglse
C,g,fglse
G,F,fglse
G,L,fglse
G,N,fglse
G,X,fglse
G,B,fglse
G,Q,fglse
G,C,fglse
G,G,true
G,g,true
g,F,fglse
g,L,fglse
g,N,fglse
g,X,fglse
g,B,fglse
g,Q,fglse
g,C,fglse
g,G,true
g,g,true
