This,Other,Less Significant
F,F,false
F,L,false
F,N,false
F,X,false
F,B,false
F,Q,false
F,C,false
F,G,false
F,g,false
L,F,true
L,L,false
L,N,false
L,X,false
L,B,false
L,Q,false
L,C,false
L,G,false
L,g,false
N,F,true
N,L,true
N,N,false
N,X,false
N,B,false
N,Q,false
N,C,false
N,G,false
N,g,false
X,F,true
X,L,true
X,N,true
X,X,false
X,B,false
X,Q,false
X,C,false
X,G,false
X,g,false
B,F,true
B,L,true
B,N,true
B,X,true
B,B,false
B,Q,false
B,C,false
B,G,false
B,g,false
Q,F,true
Q,L,true
Q,N,true
Q,X,true
Q,B,true
Q,Q,false
Q,C,false
Q,G,false
Q,g,false
C,F,true
C,L,true
C,N,true
C,X,true
C,B,true
C,Q,true
C,C,false
C,G,false
C,g,false
G,F,true
G,L,true
G,N,true
G,X,true
G,B,true
G,Q,true
G,C,true
G,G,false
G,g,false
g,F,true
g,L,true
g,N,true
g,X,true
g,B,true
g,Q,true
g,C,true
g,G,false
g,g,false
