Format,Value,Hemisphere,Valid?,ParsedValue
FORMAT_MINUS90_90,0,,true,0.000
FORMAT_MINUS90_90,-50.342,,true,-50.342
FORMAT_MINUS90_90,74.954,,true,74.954
FORMAT_MINUS90_90,-90,,true,-90.000
FORMAT_MINUS90_90,-90.000,,true,-90.000
FORMAT_MINUS90_90,89.999,,true,89.999
FORMAT_MINUS90_90,-89.999,,true,-89.999
FORMAT_MINUS90_90,90,,true,90.000
FORMAT_MINUS90_90,90.000,,true,90.000
FORMAT_MINUS90_90,91,,false,
FORMAT_MINUS90_90,-91,,false,
FORMAT_MINUS90_90,190,,false,
FORMAT_MINUS90_90,12.5357,,true,12.536
FORMAT_MINUS90_90,abs,,false,
FORMAT_0_90,0,N,true,0.000
FORMAT_0_90,0,S,true,0.000
FORMAT_0_90,0.5,N,true,0.500
FORMAT_0_90,0.5,S,true,-0.500
FORMAT_0_90,0.5,N,true,0.500
FORMAT_0_90,0.5,S,true,-0.500
FORMAT_0_90,60.342,N,true,60.342
FORMAT_0_90,60.342,S,true,-60.342
FORMAT_0_90,-1,N,false,
FORMAT_0_90,-1,S,false,
FORMAT_0_90,90,N,true,90.000
FORMAT_0_90,90,S,true,-90.000
FORMAT_0_90,0,E,false,
FORMAT_0_90,abs,,false,
FORMAT_HDM,0,,false,
FORMAT_HDM,N 0,,false,
FORMAT_HDM,N 0 0,,true,0.000
FORMAT_HDM,N 0 0.000,,true,0.000
FORMAT_HDM,N 0 1,,true,0.017
FORMAT_HDM,N 0 1.5896,,true,0.026
FORMAT_HDM,N 0 30,,true,0.500
FORMAT_HDM,N 0 59.999,,true,1.000
FORMAT_HDM,N 0 60,,false,
FORMAT_HDM,N 90 0,,true,90.000
FORMAT_HDM,N 90 0.001,,false,
FORMAT_HDM,N 89 59.999,,true,90.000
FORMAT_HDM,S 0,,false,
FORMAT_HDM,S 0 0,,true,0.000
FORMAT_HDM,S 0 0.000,,true,0.000
FORMAT_HDM,S 0 1,,true,-0.017
FORMAT_HDM,S 0 1.5896,,true,-0.026
FORMAT_HDM,S 0 30,,true,-0.500
FORMAT_HDM,S 0 59.999,,true,-1.000
FORMAT_HDM,S 0 60,,false,
FORMAT_HDM,S 90 0,,true,-90.000
FORMAT_HDM,S 90 0.001,,false,
FORMAT_HDM,S 89 59.999,,true,-90.000
FORMAT_HDM,E 0 0.000,,false,
FORMAT_H_DDDMMmmm,00000.000,N,true,0.000
FORMAT_H_DDDMMmmm,00000.001,N,true,0.000
FORMAT_H_DDDMMmmm,00100.000,N,true,1.000
FORMAT_H_DDDMMmmm,-00100.000,N,false,
FORMAT_H_DDDMMmmm,00130.000,N,true,1.500
FORMAT_H_DDDMMmmm,-00130.000,N,false,
FORMAT_H_DDDMMmmm,8845.678,N,true,88.761
FORMAT_H_DDDMMmmm,-8845.678,N,false,
FORMAT_H_DDDMMmmm,9000.000,N,true,90.000
FORMAT_H_DDDMMmmm,-9000.000,N,false,
FORMAT_H_DDDMMmmm,10000.000,N,false,
FORMAT_H_DDDMMmmm,-1000.000,N,false,
FORMAT_H_DDDMMmmm,00000.000,S,true,0.000
FORMAT_H_DDDMMmmm,00000.001,S,true,0.000
FORMAT_H_DDDMMmmm,00100.000,S,true,-1.000
FORMAT_H_DDDMMmmm,-00100.000,S,false,
FORMAT_H_DDDMMmmm,00130.000,S,true,-1.500
FORMAT_H_DDDMMmmm,-00130.000,S,false,
FORMAT_H_DDDMMmmm,8845.678,S,true,-88.761
FORMAT_H_DDDMMmmm,-8845.678,S,false,
FORMAT_H_DDDMMmmm,9000.000,S,true,-90.000
FORMAT_H_DDDMMmmm,-9000.000,S,false,
FORMAT_H_DDDMMmmm,20000.0001,S,false,
FORMAT_H_DDDMMmmm,-10000.000,S,false,
FORMAT_H_DDDMMmmm,8845.678,E,false,
