Sensor Auto QC,Sensor User QC,Already Contains Pos QC Message,Position QC,Result Flag,Result Contains Pos QC Message,Dirty
2,-2,false,2,-2,false,false
2,-2,false,3,3,true,true
2,-2,false,4,4,true,true
2,-2,true,2,-2,false,true
2,-2,true,3,3,true,true
2,-2,true,4,4,true,true
2,2,false,2,2,false,false
2,2,false,3,3,true,true
2,2,false,4,4,true,true
2,2,true,2,-2,false,true
2,2,true,3,3,true,true
2,2,true,4,4,true,true
2,3,false,2,3,false,false
2,3,false,3,3,true,true
2,3,false,4,4,true,true
2,3,true,2,-2,false,true
2,3,true,3,3,true,true
2,3,true,4,4,true,true
2,4,false,2,4,false,false
2,4,false,3,4,false,false
2,4,false,4,4,true,true
2,4,true,2,-2,false,true
2,4,true,3,3,true,true
2,4,true,4,4,true,true
3,-10,false,2,-10,false,false
3,-10,false,3,3,true,true
3,-10,false,4,4,true,true
3,-10,true,2,-10,false,true
3,-10,true,3,3,true,true
3,-10,true,4,4,true,true
3,2,false,2,2,false,false
3,2,false,3,3,true,true
3,2,false,4,4,true,true
3,2,true,2,-10,false,true
3,2,true,3,3,true,true
3,2,true,4,4,true,true
3,3,false,2,3,false,false
3,3,false,3,3,true,true
3,4,false,4,4,true,true
3,3,true,2,-10,false,true
3,3,true,3,3,true,true
3,3,true,4,4,true,true
3,4,false,2,4,false,false
3,4,false,3,4,false,false
3,4,false,4,4,true,true
3,4,true,2,-10,false,true
3,4,true,3,3,true,true
3,4,true,4,4,true,true
4,-10,false,2,-10,false,false
4,-10,false,3,-10,false,false
4,-10,false,4,4,true,true
4,-10,true,2,-10,false,true
4,-10,true,3,-10,false,true
4,-10,true,4,4,true,true
4,2,false,2,2,false,false
4,2,false,3,3,true,true
4,2,false,4,4,true,true
4,2,true,2,-10,false,true
4,2,true,3,3,true,true
4,2,true,4,4,true,true
4,3,false,2,3,false,false
4,3,false,3,3,true,true
4,3,false,4,4,true,true
4,3,true,2,-10,false,true
4,3,true,3,3,true,true
4,3,true,4,4,true,true
4,4,false,2,4,false,false
4,4,false,3,4,false,false
4,4,false,4,4,true,true
4,4,true,2,-10,false,true
4,4,true,3,-10,false,true
4,4,true,4,4,true,true
