# This file lists the sensors etc that are needed for a particular
# configuration of QuinCe.

# Sensor Name,Required?,Named?,RequiredGroup,DependsOn,DependsQuestion,Many?,Averaged?,Can Be Post-Calibrated?,Core?,Used In Calculation?,Calibrated using data?
Intake Temperature,Y,Y,,,,Y,Y,Y,N,Y,N
Salinity,Y,Y,,,,Y,Y,Y,N,Y,N
Equilibrator Temperature,Y,Y,,,,Y,Y,Y,N,Y,N
Equilibrator Pressure (absolute),Y,Y,EqP,,,Y,Y,Y,N,Y,N
Equilibrator Pressure (differential),Y,Y,EqP,Atmospheric Pressure,,Y,Y,Y,N,Y,N
Atmospheric Pressure,N,Y,,,,Y,Y,Y,N,Y,N
xH2O,N,Y,,,,Y,Y,Y,N,Y,N
CO2,Y,Y,,xH2O,Do values from the CO₂ require moisture adjustment?,Y,Y,N,Y,Y,Y
Other Temperature,N,Y,,,,Y,N,Y,N,N,N
Other Pressure,N,Y,,,,Y,N,Y,N,N,N
Air Flow,N,Y,,,,Y,N,Y,N,N,N
Water Flow,N,Y,,,,Y,N,N,N,N,N
Pump Speed,N,Y,,,,Y,N,N,N,N,N
